InsertionReason,TimeStamps,UnparsedData
1,1464995,65317
1,1464996,65535
129,1464997,31
129,1465000,77
129,1465003,35
129,1465006,0
129,1465009,0
1,1465445,65280
1,1465997,65535
129,1465999,32
129,1466002,77
129,1466005,35
129,1466008,0
129,1466011,0
1,1466446,65397
1,1466447,65280
1,1466998,65312
1,1466999,65535
129,1467000,33
129,1467003,77
129,1467006,35
129,1467009,0
129,1467012,0
1,1467448,65280
1,1468000,65535
129,1468002,34
129,1468005,77
129,1468008,35
129,1468011,0
129,1468014,0
1,1468449,65471
1,1468450,65280
1,1469002,65535
129,1469004,35
129,1469007,77
129,1469010,35
129,1469013,0
129,1469016,0
1,1469451,65280
1,1470003,65447
1,1470004,65535
129,1470005,36
129,1470008,77
129,1470011,35
129,1470014,0
129,1470017,0
1,1470453,65280
1,1471005,65535
129,1471007,37
129,1471010,77
129,1471013,35
129,1471016,0
129,1471019,0
1,1471454,65317
1,1471455,65280
1,1472006,65317
1,1472007,65535
129,1472008,38
129,1472011,77
129,1472014,35
129,1472017,0
129,1472020,0
1,1472456,65280
1,1473008,65535
129,1473010,39
129,1473013,77
129,1473016,35
129,1473019,0
129,1473022,0
1,1473457,65325
1,1473458,65280
1,1474009,65319
1,1474010,65535
129,1474011,40
129,1474014,77
129,1474017,35
129,1474020,0
129,1474023,0
1,1474459,65280
1,1475011,65535
129,1475013,41
129,1475016,77
129,1475019,35
129,1475022,0
129,1475025,0
1,1475460,65317
1,1475461,65280
1,1476012,65325
1,1476013,65535
129,1476014,42
129,1476017,77
129,1476020,35
129,1476023,0
129,1476026,0
1,1476462,65280
1,1477014,65535
129,1477016,43
129,1477019,77
129,1477022,35
129,1477025,0
129,1477028,0
1,1477463,65325
1,1477464,65280
1,1478016,65535
129,1478017,44
129,1478020,77
129,1478023,35
129,1478026,0
129,1478029,0
1,1478465,65280
1,1479017,65535
129,1479019,45
129,1479022,77
129,1479025,35
129,1479028,0
129,1479031,0
1,1479466,65527
1,1479467,65280
1,1480018,65455
1,1480019,65535
129,1480020,46
129,1480023,77
129,1480026,35
129,1480029,0
129,1480032,0
1,1480468,65280
1,1481020,65535
129,1481022,47
129,1481025,77
129,1481028,35
